Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0643	7.4E-5	0.0495	6.8E-5	0.0683	6.9E-5	0.0824	4.9E-5	0.0748	6.2E-5	0.0794	5.6E-5	0.0709	6.8E-5
0.0648	7.4E-5	0.0498	6.9E-5	0.0687	6.8E-5	0.0829	4.8E-5	0.0753	6.1E-5	0.0799	5.5E-5	0.0713	6.8E-5
0.0652	7.3E-5	0.0502	6.9E-5	0.0692	6.8E-5	0.0834	4.7E-5	0.0758	6.1E-5	0.0804	5.4E-5	0.0718	6.7E-5
0.0656	7.3E-5	0.0505	7.0E-5	0.0697	6.7E-5	0.0839	4.6E-5	0.0763	6.0E-5	0.0808	5.3E-5	0.0722	6.6E-5
0.0660	7.2E-5	0.0508	7.0E-5	0.0702	6.7E-5	0.0843	4.5E-5	0.0767	6.0E-5	0.0812	5.2E-5	0.0727	6.6E-5
0.0664	7.2E-5	0.0511	7.1E-5	0.0706	6.6E-5	0.0848	4.5E-5	0.0772	5.9E-5	0.0815	5.2E-5	0.0731	6.5E-5
0.0668	7.1E-5	0.0515	7.1E-5	0.0710	6.6E-5	0.0853	4.4E-5	0.0777	5.8E-5	0.0820	5.1E-5	0.0735	6.4E-5
0.0673	7.1E-5	0.0518	7.2E-5	0.0714	6.5E-5	0.0858	4.3E-5	0.0781	5.7E-5	0.0824	5.0E-5	0.0738	6.3E-5
0.0677	7.1E-5	0.0522	7.2E-5	0.0719	6.4E-5	0.0863	4.2E-5	0.0786	5.7E-5	0.0829	4.9E-5	0.0741	6.3E-5
0.0680	7.0E-5	0.0525	7.2E-5	0.0723	6.4E-5	0.0867	4.1E-5	0.0790	5.6E-5	0.0834	4.9E-5	0.0745	6.2E-5
0.0684	7.0E-5	0.0528	7.2E-5	0.0726	6.3E-5	0.0872	4.0E-5	0.0795	5.5E-5	0.0840	4.8E-5	0.0748	6.2E-5
0.0688	7.0E-5	0.0532	7.3E-5	0.0730	6.2E-5	0.0877	3.9E-5	0.0799	5.4E-5	0.0845	4.7E-5	0.0752	6.1E-5
0.0691	7.0E-5	0.0536	7.3E-5	0.0734	6.2E-5	0.0881	3.8E-5	0.0802	5.3E-5	0.0851	4.7E-5	0.0756	6.1E-5
0.0695	6.9E-5	0.0539	7.3E-5	0.0738	6.1E-5	0.0886	3.8E-5	0.0806	5.3E-5	0.0857	4.6E-5	0.0760	6.0E-5
0.0698	6.9E-5	0.0543	7.3E-5	0.0741	6.0E-5	0.0890	3.7E-5	0.0811	5.2E-5	0.0863	4.5E-5	0.0765	5.9E-5
0.0702	6.8E-5	0.0547	7.4E-5	0.0745	6.0E-5	0.0894	3.6E-5	0.0815	5.1E-5	0.0868	4.5E-5	0.0769	5.8E-5
0.0705	6.8E-5	0.0551	7.4E-5	0.0748	5.9E-5	0.0899	3.5E-5	0.0819	5.0E-5	0.0873	4.4E-5	0.0774	5.8E-5
0.0708	6.7E-5	0.0555	7.4E-5	0.0752	5.9E-5	0.0903	3.4E-5	0.0824	5.0E-5	0.0879	4.3E-5	0.0778	5.7E-5
0.0711	6.7E-5	0.0559	7.4E-5	0.0756	5.8E-5	0.0907	3.3E-5	0.0829	4.9E-5	0.0883	4.2E-5	0.0783	5.6E-5
