Position (m) Run #1	Magnetic Field Strength (100X) (T) Run #1	Position (m) Run #2	Magnetic Field Strength (100X) (T) Run #2	Position (m) Run #3	Magnetic Field Strength (100X) (T) Run #3	Position (m) Run #4	Magnetic Field Strength (100X) (T) Run #4	Position (m) Run #5	Magnetic Field Strength (100X) (T) Run #5	Position (m) Run #6	Magnetic Field Strength (100X) (T) Run #6	Position (m) Run #7	Magnetic Field Strength (100X) (T) Run #7
0.0982	2.6E-5	0.1149	6.4E-6	0.1188	7.3E-6	0.1123	9.4E-6	0.1205	6.5E-6	0.1177	6.7E-6	0.1096	9.5E-6
0.0985	2.5E-5	0.1152	6.3E-6	0.1190	7.0E-6	0.1127	9.3E-6	0.1205	6.5E-6	0.1180	6.7E-6	0.1099	9.4E-6
0.0987	2.5E-5	0.1155	6.0E-6	0.1192	6.9E-6	0.1131	9.3E-6	0.1205	6.6E-6	0.1183	6.4E-6	0.1103	9.3E-6
0.0989	2.4E-5	0.1158	5.8E-6	0.1194	6.8E-6	0.1135	9.3E-6	0.1205	6.8E-6	0.1187	6.1E-6	0.1106	9.2E-6
0.0992	2.3E-5	0.1160	5.5E-6	0.1195	6.8E-6	0.1138	9.3E-6	0.1205	6.9E-6	0.1191	5.8E-6	0.1110	9.2E-6
0.0996	2.2E-5	0.1163	5.2E-6	0.1195	7.0E-6	0.1142	9.3E-6	0.1205	6.9E-6	0.1193	5.6E-6	0.1113	9.1E-6
0.1000	2.2E-5	0.1164	5.0E-6	0.1195	7.0E-6	0.1145	9.3E-6	0.1205	6.8E-6	0.1196	5.4E-6	0.1116	9.0E-6
0.1004	2.1E-5	0.1165	5.0E-6	0.1195	7.1E-6	0.1149	9.3E-6	0.1205	6.7E-6	0.1198	5.2E-6	0.1118	9.0E-6
0.1008	2.0E-5	0.1165	4.8E-6	0.1195	7.2E-6	0.1152	9.2E-6	0.1205	6.7E-6	0.1200	5.0E-6	0.1120	8.9E-6
0.1012	2.0E-5	0.1165	4.8E-6	0.1195	7.1E-6	0.1155	9.1E-6	0.1205	6.8E-6	0.1203	4.9E-6	0.1122	8.8E-6
0.1016	1.9E-5	0.1165	4.8E-6	0.1195	7.0E-6	0.1158	8.9E-6	0.1205	7.0E-6	0.1206	4.8E-6	0.1125	8.6E-6
0.1020	1.9E-5	0.1165	4.7E-6	0.1195	6.8E-6	0.1162	8.8E-6	0.1205	7.1E-6	0.1209	4.8E-6	0.1127	8.3E-6
0.1024	1.8E-5	0.1167	4.5E-6	0.1195	6.6E-6	0.1165	8.6E-6	0.1205	7.1E-6	0.1212	4.8E-6	0.1129	8.1E-6
0.1028	1.8E-5	0.1170	4.2E-6	0.1195	6.7E-6	0.1169	8.3E-6	0.1205	7.1E-6	0.1215	4.7E-6	0.1131	7.9E-6
0.1033	1.7E-5	0.1173	3.8E-6	0.1195	6.8E-6	0.1172	8.1E-6	0.1205	6.9E-6	0.1219	4.7E-6	0.1134	7.8E-6
0.1037	1.7E-5	0.1175	3.3E-6	0.1195	7.1E-6	0.1176	7.9E-6	0.1205	6.7E-6	0.1223	4.7E-6	0.1135	7.7E-6
0.1042	1.6E-5	0.1177	2.7E-6	0.1195	7.4E-6	0.1180	7.7E-6	0.1205	6.4E-6	0.1227	4.8E-6	0.1137	7.6E-6
0.1046	1.6E-5	0.1179	2.2E-6	0.1195	7.6E-6	0.1183	7.5E-6	0.1205	6.2E-6	0.1231	4.9E-6	0.1139	7.5E-6
0.1051	1.5E-5	0.1181	1.8E-6	0.1195	7.6E-6	0.1186	7.3E-6	0.1205	6.1E-6	0.1235	5.0E-6	0.1140	7.4E-6
0.1056	1.5E-5	0.1182	1.4E-6	0.1195	7.6E-6	0.1190	7.1E-6	0.1205	6.0E-6	0.1238	5.2E-6	0.1141	7.3E-6
0.1061	1.4E-5	0.1183	1.1E-6	0.1195	7.6E-6	0.1194	6.8E-6	0.1205	5.7E-6	0.1240	5.3E-6	0.1143	7.3E-6
0.1065	1.4E-5	0.1183	8.9E-7	0.1195	7.6E-6	0.1198	6.8E-6	0.1205	5.5E-6	0.1242	5.2E-6	0.1145	7.3E-6
0.1069	1.4E-5	0.1182	7.7E-7	0.1195	7.5E-6	0.1199	6.8E-6	0.1205	5.5E-6	0.1241	5.1E-6	0.1147	7.3E-6
0.1073	1.3E-5	0.1182	7.4E-7	0.1195	7.4E-6	0.1199	6.9E-6	0.1205	5.5E-6	0.1241	4.9E-6	0.1149	7.2E-6
0.1078	1.3E-5	0.1182	6.6E-7	0.1195	7.2E-6	0.1200	6.8E-6	0.1205	5.6E-6	0.1241	4.8E-6	0.1151	7.1E-6
0.1082	1.3E-5	0.1182	6.6E-7	0.1195	7.1E-6	0.1200	6.6E-6	0.1205	5.7E-6	0.1241	4.9E-6	0.1153	7.0E-6
0.1085	1.3E-5	0.1182	8.2E-7	0.1195	7.2E-6	0.1201	6.4E-6	0.1205	5.8E-6	0.1241	5.0E-6	0.1155	7.0E-6
0.1089	1.2E-5	0.1182	1.0E-6	0.1195		0.1203	6.4E-6	0.1205	5.9E-6	0.1241	5.0E-6	0.1157	7.1E-6
0.1092	1.2E-5	0.1182	1.2E-6			0.1207	6.3E-6	0.1205	5.9E-6	0.1241	5.0E-6	0.1159	7.2E-6
0.1095	1.2E-5	0.1182	1.3E-6			0.1210	6.3E-6	0.1205	5.8E-6	0.1241	5.2E-6	0.1161	7.3E-6
